platform,app_name,rating,review,sentiment,weight
Play Store,Alodokter —Chat Bersama Dokter,5,oke,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,2,"baru download, mau daftar ga bisa2. haduuhhh terus buat apa di download doang klo daftar aja ga bisa.",NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,mending chat sama chatgpt dari pada alodokter. ga bisa keluarin surat dokter gara2 abis katanya. jawaban nya jg textbook banget. mending chat AI aja gratis.,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,Sangat Memuaskan,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,"saya usia 54 thn sering sakit gigi, klau sakit saya minum obat Oskadon sembuh lama kemudian sekarang kambuh lagi dokter terus saya minum obat Oskadon lagi sembuh sebentar tapi sakit lagi yang ingin saya tanyakan obat apa yang tidak kambuh lagi dokter pada hal saya sudah menjaga kebersihan",NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,2,dokternya responnya lama .... ( Semoga bisa diperbaiki ya dok responnya ) terimkasih semangat terus,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,bisa bertanya tentang kesehat,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,Petunjuk dokter dan konsultasi menenangkan hati.,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,good job,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,"aplikasi ini engga amanah saya order yang instan tapi di kirim esok hari. aneh, seharusnya kalau gabisa kirim hari ini ga usah ada pengiriman instan",NEGATIVE,INFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,ok,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,"syaa sudah konsul dokter SP.M di kasih resep obat, tp ketika saya mau beli d alloshop ga bisa di gunakan resep dokternya, saya di paksa membeli obat di toko yg mereka rekomendasikan sementra saya tidak bisa memilih toko yg saya pilih dengan resep dokter yang saya punya, kalau ga ada bintang saya kasih nol bintang .. benar2 mengecewakan",NEGATIVE,INFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,4,baik,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,sedikit kecewa. karena psikolog saya yg salah pilih tidak merespon malah digantik sama psikolog lain. padahal saya lagi cari psikolog yg nonis. terima kasih,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,2,sy mau tanya apa obat yg paling aman untuk penyakit tulang ekor yg kegeser akibat dr jatuh berkalikali,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,kok aku gk bisa masuk?,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,kapok berobat d Alo dokter obat sudah d beli GK d kirim  obat buat kesembuhan ngirim nya sembrono ,NEGATIVE,INFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,"sore dok,, saya umur 57 tahun mengkonsumsi multivitamin renovit gold dan vit B12 IPI serta magnesium apakah tidak over kalau mengkonsumsi nature e yang putih 200UI",NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,4,informatif,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,"seperti saya orang susah mau chat GK ada uang pake bayar,,",NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,saya punya penyakit mag apakah bisa di sembuhkan dengan minum habbatusauda,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,mantabbb tp jangan bayar,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,Oke,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,"mkasih dok, rasa kecemasan ku tiba2 menghilangkan mkasih dok",POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,aplikasi yg sangat bermamfaat,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,2,"dokter sudah satu bulan ini saya menderita gatal"" diseluruh muka hingga kepala. apa solusinya?",NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,harga masih ekonomis,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,responsif baik,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,baik dokternya,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,"GK bisa daftar, bahaya ini. mohon dicoba kembali waktu daftar,kayak ngambil data ajaaa. ",NEGATIVE,INFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,baikk sekalii,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,masuk nya aja susah,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,ty alodokter,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,baikk,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,aku mau masuk aplikasinya g bisa,NEGATIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,sanga2 berguna,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,assalamualaikum wr.wb. anak saya perempuan setiap bulan setiap haid merasa perutnya sakit sekali minuman yg baik untuk meredakan sakitnya spa ya dok?,NEUTRAL,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,5,sangatt memuaskan,POSITIVE,UNINFORMATIVE
Play Store,Alodokter —Chat Bersama Dokter,1,susah masukny,NEGATIVE,UNINFORMATIVE
